Enabled,Включено
Description,Описание
Categories,Категории
Options,Параметры
"Meta Title","Мета Заголовок"
"Meta Description","Мета Описание"
"Meta Keywords","Мета Ключевые слова"
Create,Создать
Auto Create Meta Tags,Авто создание мета тэгов
NEW SEO Rules,Новые SEO Правила
Meta tags Templates,Шаблоны Мета Тэгов
Meta Tags Templates,Шаблоны Мета Тэгов
Is Active,Активные
Title rules,Заголовок
Title keywords,Ключевые слова
Title description,Описания
Most popular options,Самые популярные параметры
SEO Rules,СЕО Правила
Add Rule,Добавить правило
SEO Rule, СЕО Правило
Rule Edit/View,Изменить/Показать правило
Preview Rules,Показать правило
Generate Rules,Сгенерировать правила
Limit Product,Лимит продуктов
SeoGenerator,Сеогенератор
Category Name,Имя категории
Title,Заголовок
Description,Описание
Keywords,Ключевые слова
Popular Options,Популярные параметры
Status,Статус
Delete,Удалить
Are you sure?,Вы уверены?